会社名,銘柄コード,進捗率,詳細ページURL,PER,PBR,配当利回り
テレビ東京Ｈ9413,9413,64.2%,https://kabuyoho.jp/reportTop?bcode=9413,16.9,1.24,2.05%
ＢＩＰＲＯＧＹ8056,8056,50.8%,https://kabuyoho.jp/reportTop?bcode=8056,20.3,3.37,1.99%
ＳＭエンタメＪ4772,4772,141.3%,https://kabuyoho.jp/reportTop?bcode=4772,29.9,1.67,1.89%
ザインエレ6769,6769,N/A,https://kabuyoho.jp/reportTop?bcode=6769,N/A,1.0,1.83%
ハウスオブローゼ7506,7506,55.1%,https://kabuyoho.jp/reportTop?bcode=7506,140.6,1.17,1.82%
アズビル6845,6845,40.3%,https://kabuyoho.jp/reportTop?bcode=6845,22.0,3.18,1.8%
ＮＫＫスイッチズ6943,6943,116.0%,https://kabuyoho.jp/reportTop?bcode=6943,N/A,0.29,1.8%
山一電機6941,6941,71.4%,https://kabuyoho.jp/reportTop?bcode=6941,17.6,2.7,1.72%
大水7538,7538,43.4%,https://kabuyoho.jp/reportTop?bcode=7538,8.3,0.4,1.71%
ダイキン工業6367,6367,58.3%,https://kabuyoho.jp/reportTop?bcode=6367,20.5,1.93,1.68%
コタ4923,4923,10.5%,https://kabuyoho.jp/reportTop?bcode=4923,24.3,3.08,1.67%
コニカミノルタ4902,4902,N/A,https://kabuyoho.jp/reportTop?bcode=4902,11.1,0.6,1.65%
富士急行9010,9010,51.9%,https://kabuyoho.jp/reportTop?bcode=9010,20.3,2.84,1.48%
ファインシンター5994,5994,91.2%,https://kabuyoho.jp/reportTop?bcode=5994,8.2,0.47,1.38%
ＯＣＭ6380,6380,N/A,https://kabuyoho.jp/reportTop?bcode=6380,34.7,1.94,1.19%
サンリオ8136,8136,55.7%,https://kabuyoho.jp/reportTop?bcode=8136,25.3,8.94,1.18%
北越メタル5446,5446,29.5%,https://kabuyoho.jp/reportTop?bcode=5446,47.6,0.27,0.65%
ユニネクスト3566,3566,93.3%,https://kabuyoho.jp/reportTop?bcode=3566,17.3,1.81,0.61%
ＭＡＲＵＷＡ5344,5344,N/A,https://kabuyoho.jp/reportTop?bcode=5344,N/A,4.14,0.22%
ぐるなび2440,2440,48.1%,https://kabuyoho.jp/reportTop?bcode=2440,41.2,1.87,0.0%
コロプラ3668,3668,N/A,https://kabuyoho.jp/reportTop?bcode=3668,N/A,0.81,N/A
千代田化工建設6366,6366,73.9%,https://kabuyoho.jp/reportTop?bcode=6366,7.6,3.83,N/A
マミヤ・オーピー7991,7991,62.2%,https://kabuyoho.jp/reportTop?bcode=7991,5.6,0.65,N/A
